Title,Authors,Abstract,Link
O que é inteligência artificial,J Teixeira - 2019 - books.google.com,"Este pequeno livro, agora em terceira edição, explica principalmente para o público jovem 
o que é inteligência artificial. Em nenhum momento é usada linguagem técnica ou …",https://books.google.com/books?hl=pt-PT&lr=&id=oDSZDwAAQBAJ&oi=fnd&pg=PT5&dq=artificial&ots=5HgzM9XtQT&sig=d1NmUF0w6wD6sgkIWtQ7L6zjReE
Inteligência artificial,"PC Nascimento, T Yoneyama - Editora Blucher, 2000 - unicamp.br","O que parece brincadeira de criança é, de fato, o exercício acadêmico da aplicação de 
sofisticados conceitos de inteligência artificial para a operação de robôs autônomos, executado …",https://www.unicamp.br/unicamp/unicamp_hoje/ju/jornalPDF/ju170_p04.pdf
Inteligência artificial,R Silva - 2013 - reposicons.org,"Definologia. A Inteligência Artificial (IA) é a subárea da Ciência da Computação responsável 
por pesquisar e propor a elaboração de dispositivos computacionais capazes de simular …",http://reposicons.org/handle/123456789/3737
Artificial metallonucleases,"F Mancin, P Scrimin, P Tecilla… - Chemical Communications, 2005 - pubs.rsc.org","The development of synthetic agents able to hydrolytically cleave DNA with high efficiency 
and selectivity is a fascinating challenge that will show the way to obtaining artificial …",https://pubs.rsc.org/en/content/articlehtml/2001/mk/b418164f
Desmistificando a inteligência artificial,D Kaufman - 2022 - books.google.com,"Este livro reúne artigos de Dora Kaufman sobre inteligência artificial publicados na revista 
Época Negócios, entre junho de 2019 e abril de 2022. Em linguagem acessível, Dora passa …",https://books.google.com/books?hl=pt-PT&lr=&id=3LxtEAAAQBAJ&oi=fnd&pg=PT5&dq=artificial&ots=9Aclf3NFFN&sig=X9HYaxXX5n77im4vqpr6eTWswyg
Artificial life: An overview,CG Langton - 1997 - books.google.com,"… to the Artificial Life … of Artificial Life and organize a large body of citations to the literature in 
the field. I would recommend this book as an excellent text for a graduate seminar on Artificial …",https://books.google.com/books?hl=pt-PT&lr=&id=qErpoKjc1h4C&oi=fnd&pg=PR7&dq=artificial&ots=NZiG1n3Aya&sig=tRl8LcUE-ypItl65NvrpzMQ_K6c
Artificial ribonucleases,"T Niittymäki, H Lönnberg - Organic & biomolecular chemistry, 2006 - pubs.rsc.org","Mimicking the action of enzymes by simpler and more robust man-made catalysts has long 
inspired bioorganic chemists. During the past decade, mimics for RNA-cleaving enzymes, …",https://pubs.rsc.org/en/content/articlehtml/2006/ob/b509022a
Inteligência artificial no limiar do século XXI,"JM Barreto - Florianópolis: PPP edições, 1999 - dca.fee.unicamp.br","… Uma rede neural artificial é composta por várias unidades de processamento, cujo 
funcionamento é bastante simples. Essas unidades, geralmente são conectadas por canais de …",ftp://ftp.dca.fee.unicamp.br/pub/docs/vonzuben/ia353_03/revisao/docs/tema4.doc
What is artificial intelligence?,"JH Fetzer, JH Fetzer - 1990 - Springer","… field of artificial … artificial would do only as long as we were already in possession of a 
suitable understanding of the idea of intelligence. What is supposed to be “artificial” about artificial …",https://link.springer.com/chapter/10.1007/978-94-009-1900-6_1
Artificial intelligence,EB Hunt - 2014 - books.google.com,"Artificial Intelligence provides information pertinent to the fundamental aspects of artificial 
intelligence. This book presents the basic mathematical and computational approaches to …",https://books.google.com/books?hl=pt-PT&lr=&id=9y2jBQAAQBAJ&oi=fnd&pg=PP1&dq=artificial&ots=uQSA1md_yx&sig=iVGLCAoD4uH3SbKxYaTGyoADgEo
